Zeit_s;Weg_mm
12.8774;0.0913
12.8808;0.0913
12.8842;0.0913
12.8882;0.0913
12.8976;0.0913
12.8978;0.0913
12.9016;0.0913
12.9065;0.0913
12.9116;0.0913
12.9171;0.0913
12.9315;0.0913
12.9320;0.0913
12.9363;0.0913
12.9388;0.0913
12.9447;0.0913
12.9501;0.0913
12.9516;0.0913
12.9566;0.0913
12.9616;0.0913
12.9666;0.0913
12.9717;0.0913
12.9769;0.0913
12.9816;0.0913
13.0003;0.0913
13.0052;0.0913
13.0071;0.0913
13.0098;0.0913
13.0145;0.0913
13.0190;0.0913
13.0192;0.0913
13.0216;0.0913
13.0265;0.0913
13.0315;0.0913
13.0367;0.0913
13.0419;0.0913
13.0468;0.0913
13.0607;0.0913
13.0638;0.0913
13.0655;0.0913
13.0666;0.0913
13.0773;0.0913
13.0775;0.0913
13.0816;0.0913
13.0866;0.0913
13.0916;0.0913
13.0967;0.0913
13.1016;0.0913
13.1068;0.0913
13.1202;0.0913
13.1233;0.0913
13.1250;0.0913
13.1276;0.0913
13.1369;0.0913
13.1371;0.0913
13.1418;0.0913
13.1466;0.0913
13.1517;0.0913
13.1568;0.0913
13.1621;0.0913
13.1669;0.0913
13.1848;0.0913
13.1890;0.0913
13.1932;0.0913
13.1952;0.0913
13.1970;0.0913
13.2021;0.0913
13.2066;0.0913
13.2068;0.0913
13.2115;0.0913
13.2167;0.0913
13.2219;0.0913
13.2267;0.0913
13.2316;0.0913
13.2500;0.0913
13.2539;0.0913
13.2549;0.0913
13.2567;0.0913
13.2585;0.0913
13.2669;0.0913
13.2670;0.0913
13.2717;0.0913
13.2766;0.0913
13.2816;0.0913
13.2866;0.0913
13.2918;0.0913
13.2970;0.0913
13.3176;0.0913
13.3222;0.0913
13.3240;0.0913
13.3266;0.0913
13.3277;0.0913
13.3317;0.0913
13.3357;0.0913
13.3366;0.0913
13.3434;0.0913
13.3465;0.0913
13.3516;0.0913
13.3568;0.0913
13.3619;0.0913
13.3773;0.0913
13.3810;0.0913
13.3821;0.0913
13.3839;0.0913
13.3899;0.0913
13.3942;0.0913
13.3965;0.0913
13.4016;0.0913
13.4067;0.0913
13.4117;0.0913
13.4165;0.0913
13.4216;0.0913
13.4459;0.0913
13.4498;0.0913
13.4509;0.0913
13.4528;0.0913
13.4546;0.0913
13.4557;0.0913
13.4601;0.0913
13.4642;0.0913
13.4666;0.0913
13.4716;0.0913
13.4765;0.0913
13.4818;0.0913
13.4870;0.0913
13.5039;0.0913
13.5086;0.0913
13.5104;0.0913
13.5122;0.0913
13.5141;0.0913
13.5220;0.0913
13.5222;0.0913
13.5266;0.0913
13.5316;0.0913
13.5367;0.0913
13.5418;0.0913
13.5470;0.0913
13.5518;0.0913
13.5683;0.0913
13.5731;0.0913
13.5742;0.0913
13.5759;0.0913
13.5777;0.0913
13.5855;0.0913
13.5866;0.0913
13.5916;0.0913
13.5966;0.0913
13.6016;0.0913
13.6067;0.0913
13.6119;0.0913
13.6170;0.0913
13.6369;0.0913
13.6387;0.0913
13.6406;0.0913
13.6423;0.0913
13.6468;0.0913
13.6511;0.0913
13.6516;0.0913
13.6565;0.0913
13.6616;0.0913
13.6667;0.0913
13.6717;0.0913
13.6769;0.0913
13.6965;0.0913
13.6999;0.0913
13.7016;0.0913
13.7027;0.0913
13.7044;0.0913
13.7097;0.0913
13.7138;0.0913
13.7166;0.0913
13.7216;0.0913
13.7269;0.0913
13.7318;0.0913
13.7366;0.0913
13.7418;0.0913
13.7606;0.0913
13.7662;0.0913
13.7710;0.0913
13.7728;0.0913
13.7754;0.0913
13.7804;0.0913
13.7850;0.0913
13.7852;0.1031
13.7865;0.1148
13.7915;0.1384
13.7966;0.1620
13.8016;0.1855
13.8069;0.2091
13.8322;0.2208
13.8379;0.2444
13.8405;0.2562
13.8462;0.2680
13.8500;0.2797
13.8502;0.2915
13.8504;0.3033
13.8506;0.3151
13.8516;0.3269
13.8566;0.3386
13.8736;0.3504
13.8767;0.3622
13.8785;0.3740
13.8802;0.3740
13.8827;0.3740
13.8893;0.3857
13.8916;0.3857
13.8966;0.3975
13.9016;0.4093
13.9068;0.3975
13.9120;0.4093
13.9168;0.3975
13.9316;0.3975
13.9357;0.4093
13.9375;0.3975
13.9408;0.3975
13.9438;0.3857
13.9467;0.3740
13.9516;0.3740
13.9566;0.3740
13.9618;0.3740
13.9672;0.3740
13.9717;0.3740
13.9768;0.3622
13.9819;0.3504
14.0035;0.3386
14.0079;0.3269
14.0137;0.3269
14.0171;0.3151
14.0172;0.3033
14.0174;0.2915
14.0176;0.2797
14.0216;0.2680
14.0268;0.2562
14.0316;0.2444
14.0366;0.2208
14.0416;0.2091
14.0608;0.1973
14.0653;0.1855
14.0698;0.1855
14.0745;0.1855
14.0776;0.1737
14.0777;0.1620
14.0779;0.1502
14.0816;0.1384
14.0866;0.1266
14.0917;0.1148
14.0967;0.1031
14.1016;0.0913
14.1067;0.0913
14.1342;0.0913
14.1392;0.0913
14.1409;0.0913
14.1427;0.0913
14.1495;0.0913
14.1497;0.0913
14.1498;0.0913
14.1500;0.0913
14.1516;0.0913
14.1566;0.0913
14.1711;0.0913
14.1748;0.0913
14.1790;0.0913
14.1792;0.0913
